Timestamp, X Coordinate, Y Coordinate, Z Coordinate, Speed,  Distance to Destination, Time to Arrival, Battery Level
Fri May  5 14:02:26 2023,498.292,270,-228.623,30,611.117,20.3706,17.545
Fri May  5 14:02:36 2023,498.292,270,-228.623,30,611.117,20.3706,7.53875
Fri May  5 14:02:46 2023,498.292,270,-228.623,30,611.117,20.3706,0
Fri May  5 14:02:56 2023,498.292,270,-228.623,30,611.117,20.3706,95.0258
Fri May  5 14:03:06 2023,498.292,270,-228.623,30,611.117,20.3706,85.0316
Fri May  5 14:03:16 2023,498.292,270,-228.623,30,611.117,20.3706,75.0419
Fri May  5 14:03:26 2023,498.292,270,-228.623,30,611.117,20.3706,65.0418
Fri May  5 14:03:36 2023,498.292,270,-228.623,30,611.117,20.3706,55.0411
Fri May  5 14:03:46 2023,498.292,270,-228.623,30,611.117,20.3706,45.0319
Fri May  5 14:03:56 2023,498.292,270,-228.623,30,611.117,20.3706,35.0322
Fri May  5 14:04:06 2023,498.292,270,-228.623,30,611.117,20.3706,25.0317
Fri May  5 14:04:16 2023,498.292,270,-228.623,30,611.117,20.3706,15.0476
Fri May  5 14:04:26 2023,498.292,270,-228.623,30,611.117,20.3706,5.04677
Fri May  5 14:04:36 2023,498.292,270,-228.623,30,611.117,20.3706,0
Fri May  5 14:04:46 2023,498.292,270,-228.623,30,611.117,20.3706,92.5247
Fri May  5 14:04:56 2023,498.292,270,-228.623,30,611.117,20.3706,82.5235
Fri May  5 14:05:06 2023,498.292,270,-228.623,30,611.117,20.3706,72.5505
Fri May  5 14:05:16 2023,498.292,270,-228.623,30,611.117,20.3706,62.5503
Fri May  5 14:05:26 2023,498.292,270,-228.623,30,611.117,20.3706,52.5503
Fri May  5 14:05:36 2023,498.292,270,-228.623,30,611.117,20.3706,42.5503
Fri May  5 14:05:46 2023,498.292,270,-228.623,30,611.117,20.3706,32.544
Fri May  5 14:05:56 2023,498.292,270,-228.623,30,611.117,20.3706,22.5447
Fri May  5 14:06:06 2023,498.292,270,-228.623,30,611.117,20.3706,12.5391
Fri May  5 14:06:16 2023,498.292,270,-228.623,30,611.117,20.3706,2.54029
Fri May  5 14:06:26 2023,498.292,270,-228.623,30,611.117,20.3706,99.1597
Fri May  5 14:06:36 2023,498.292,270,-228.623,30,611.117,20.3706,90.0326
Fri May  5 14:06:46 2023,498.292,270,-228.623,30,611.117,20.3706,80.0328
Fri May  5 14:06:56 2023,498.292,270,-228.623,30,611.117,20.3706,70.0251
Fri May  5 14:07:06 2023,498.292,270,-228.623,30,611.117,20.3706,60.0325
Fri May  5 14:07:16 2023,498.292,270,-228.623,30,611.117,20.3706,50.0325
Fri May  5 14:07:26 2023,498.292,270,-228.623,30,611.117,20.3706,40.0325
Fri May  5 14:07:36 2023,498.292,270,-228.623,30,611.117,20.3706,30.0417
Fri May  5 14:07:46 2023,498.292,270,-228.623,30,611.117,20.3706,20.0271
Fri May  5 14:07:56 2023,498.292,270,-228.623,30,611.117,20.3706,10.0276
Fri May  5 14:08:06 2023,498.292,270,-228.623,30,611.117,20.3706,0.0264739
Fri May  5 14:08:16 2023,498.292,270,-228.623,30,611.117,20.3706,97.5313
Fri May  5 14:08:26 2023,498.292,270,-228.623,30,611.117,20.3706,87.5331
Fri May  5 14:08:36 2023,498.292,270,-228.623,30,611.117,20.3706,77.5331
Fri May  5 14:08:46 2023,498.292,270,-228.623,30,611.117,20.3706,67.5329
Fri May  5 14:08:56 2023,498.292,270,-228.623,30,611.117,20.3706,57.5229
Fri May  5 14:09:06 2023,498.292,270,-228.623,30,611.117,20.3706,47.5242
Fri May  5 14:09:16 2023,498.292,270,-228.623,30,611.117,20.3706,37.524
Fri May  5 14:09:26 2023,498.292,270,-228.623,30,611.117,20.3706,27.5231
Fri May  5 14:09:36 2023,498.292,270,-228.623,30,611.117,20.3706,17.5229
Fri May  5 14:09:46 2023,498.292,270,-228.623,30,611.117,20.3706,7.53134
Fri May  5 14:09:56 2023,498.292,270,-228.623,30,611.117,20.3706,0
Fri May  5 14:10:06 2023,498.292,270,-228.623,30,611.117,20.3706,94.9901
Fri May  5 14:10:16 2023,498.292,270,-228.623,30,611.117,20.3706,84.9937
Fri May  5 14:10:26 2023,498.292,270,-228.623,30,611.117,20.3706,74.9897
Fri May  5 14:10:36 2023,498.292,270,-228.623,30,611.117,20.3706,64.9972
Fri May  5 14:10:46 2023,498.292,270,-228.623,30,611.117,20.3706,54.9867
Fri May  5 14:10:56 2023,498.292,270,-228.623,30,611.117,20.3706,44.998
Fri May  5 14:11:06 2023,498.292,270,-228.623,30,611.117,20.3706,34.9914
Fri May  5 14:11:16 2023,498.292,270,-228.623,30,611.117,20.3706,24.9864
Fri May  5 14:11:26 2023,498.292,270,-228.623,30,611.117,20.3706,14.9947
Fri May  5 14:11:36 2023,498.292,270,-228.623,30,611.117,20.3706,4.99581
Fri May  5 14:11:46 2023,498.292,270,-228.623,30,611.117,20.3706,0
Fri May  5 14:11:56 2023,498.292,270,-228.623,30,611.117,20.3706,92.4759
Fri May  5 14:12:06 2023,498.292,270,-228.623,30,611.117,20.3706,82.473
Fri May  5 14:12:16 2023,498.292,270,-228.623,30,611.117,20.3706,72.4832
Fri May  5 14:12:27 2023,498.292,270,-228.623,30,611.117,20.3706,62.4823
Fri May  5 14:12:39 2023,498.292,270,-228.623,30,611.117,20.3706,52.4823
Fri May  5 14:12:55 2023,498.292,270,-228.623,30,611.117,20.3706,42.4823
Fri May  5 14:13:11 2023,498.292,270,-228.623,30,611.117,20.3706,32.4823
Fri May  5 14:13:12 2023,498.292,270,-228.623,30,611.117,20.3706,22.4823
Fri May  5 14:13:17 2023,498.292,270,-228.623,30,611.117,20.3706,12.4823
Fri May  5 14:13:29 2023,498.292,270,-228.623,30,611.117,20.3706,2.48226
Fri May  5 14:13:45 2023,498.292,270,-228.623,30,611.117,20.3706,99.97
Fri May  5 14:14:17 2023,498.292,270,-228.623,30,611.117,20.3706,89.97
Fri May  5 14:14:17 2023,498.292,270,-228.623,30,611.117,20.3706,79.97
Fri May  5 14:14:18 2023,498.292,270,-228.623,30,611.117,20.3706,69.97
Fri May  5 14:14:18 2023,498.292,270,-228.623,30,611.117,20.3706,59.97
Fri May  5 14:15:21 2023,498.292,270,-228.623,30,611.117,20.3706,49.97
Fri May  5 14:15:22 2023,498.292,270,-228.623,30,611.117,20.3706,39.97
Fri May  5 14:15:22 2023,498.292,270,-228.623,30,611.117,20.3706,29.97
Fri May  5 14:15:22 2023,498.292,270,-228.623,30,611.117,20.3706,19.97
Fri May  5 14:15:22 2023,498.292,270,-228.623,30,611.117,20.3706,9.97
Fri May  5 14:15:22 2023,498.292,270,-228.623,30,611.117,20.3706,0
