Timestamp, X Coordinate, Y Coordinate, Z Coordinate, Speed,  Distance to Destination, Time to Arrival, Battery Level
Fri May  5 14:02:26 2023,498.292,270,-228.623,30,611.117,20.3706,95.5661
Fri May  5 14:02:36 2023,498.292,270,-228.623,30,611.117,20.3706,85.5578
Fri May  5 14:02:46 2023,498.292,270,-228.623,30,611.117,20.3706,75.5542
Fri May  5 14:02:56 2023,498.292,270,-228.623,30,611.117,20.3706,65.5528
Fri May  5 14:03:06 2023,498.292,270,-228.623,30,611.117,20.3706,55.5523
Fri May  5 14:03:16 2023,498.292,270,-228.623,30,611.117,20.3706,45.5628
Fri May  5 14:03:26 2023,498.292,270,-228.623,30,611.117,20.3706,35.5631
Fri May  5 14:03:36 2023,498.292,270,-228.623,30,611.117,20.3706,25.5536
Fri May  5 14:03:46 2023,498.292,270,-228.623,30,611.117,20.3706,15.5525
Fri May  5 14:03:56 2023,498.292,270,-228.623,30,611.117,20.3706,5.55231
Fri May  5 14:04:06 2023,498.292,270,-228.623,30,611.117,20.3706,0
Fri May  5 14:04:16 2023,498.292,270,-228.623,30,611.117,20.3706,93.0503
Fri May  5 14:04:26 2023,498.292,270,-228.623,30,611.117,20.3706,83.0502
Fri May  5 14:04:36 2023,498.292,270,-228.623,30,611.117,20.3706,73.0502
Fri May  5 14:04:46 2023,498.292,270,-228.623,30,611.117,20.3706,63.0496
Fri May  5 14:04:56 2023,498.292,270,-228.623,30,611.117,20.3706,53.0497
Fri May  5 14:05:06 2023,498.292,270,-228.623,30,611.117,20.3706,43.0496
Fri May  5 14:05:16 2023,498.292,270,-228.623,30,611.117,20.3706,33.0496
Fri May  5 14:05:26 2023,498.292,270,-228.623,30,611.117,20.3706,23.0496
Fri May  5 14:05:36 2023,498.292,270,-228.623,30,611.117,20.3706,13.0495
Fri May  5 14:05:46 2023,498.292,270,-228.623,30,611.117,20.3706,3.05957
Fri May  5 14:05:56 2023,498.292,270,-228.623,30,611.117,20.3706,73.653
Fri May  5 14:06:06 2023,498.292,270,-228.623,30,611.117,20.3706,90.5471
